insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,textPayload,timestamp,trace
000000-f883f6e9-2268-450d-8281-ea86e4ae6dd2,31hpo0tvecea,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:24.063323187Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 102188977 home,2021-10-10T23:38:20.211Z,projects/taller3-pcuneo/traces/acbf35b46256bd0af82fb2f84b652c91
000000-3a2c8575-cae5-4450-8a20-6998d6e24a97,31hp8yrb58md,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:24.063323187Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 130025654 offices,2021-10-10T23:38:20.103Z,projects/taller3-pcuneo/traces/f76d202fdcdc7f0dbead455580b4def8
000000-a55301d5-a537-4e11-9786-85656ffa2e45,31hpq7zfz9i8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:24.063323187Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 44201980 home,2021-10-10T23:38:19.918Z,projects/taller3-pcuneo/traces/e51c0596179a7ccbb5f907afcf27f7f5
000000-1dfc5caf-9523-4c09-ade5-ec905617c49a,31hp6l5hho9s,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:24.063323187Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 132018106 home,2021-10-10T23:38:19.806Z,projects/taller3-pcuneo/traces/4a8ca33d9f803d324c88b3928215cf82
000000-0b1223eb-fdd1-4aa5-953d-fc646eb7f89f,31hph9apbff3,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:23.060357891Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 46566388 offices,2021-10-10T23:38:19.619Z,projects/taller3-pcuneo/traces/753fbcddefa913bbd7da0c8b88cc8b3b
000000-957ec998-c439-4178-bde5-0a7254a5dafb,31hpjstkuh5f,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:23.060357891Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 52935333 about,2021-10-10T23:38:19.525Z,projects/taller3-pcuneo/traces/9bb92681fb65d74ee70dc61d665443c2
000000-26caf4bf-8186-44ec-9450-6c4ce449fb97,31hpta71rihz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:23.060357891Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 615941049 about,2021-10-10T23:38:19.401Z,projects/taller3-pcuneo/traces/c13bf08e9c743dc4e63be914dedb1e83
000000-db7769e1-3127-46dc-a57e-22236afeb1e5,3y3z4n2bvpgo,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:20.980379813Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 42728195 home,2021-10-10T23:38:12.367Z,projects/taller3-pcuneo/traces/55129807068c2be5fd45d3a1e12a76c7
000000-793bac84-39e3-4eb8-97eb-0e910387cbb7,frqkzyg2sud2,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:21.836897411Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 122996758 home,2021-10-10T23:38:11.889Z,projects/taller3-pcuneo/traces/4b2df12936f8ef4f547a875077deac74
000000-90997ccc-6b70-4f60-a2df-fc9d9d7a41a5,3y3zj2uepvwc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:20.980379813Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 66552669 about,2021-10-10T23:38:11.868Z,projects/taller3-pcuneo/traces/fac64a9776538092acbf4d6832bedc76
000000-84405feb-114a-4686-b834-4ca24bebf7dd,3y3zxgos9xkm,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:20.980379813Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,inc_visits 144505561 home,2021-10-10T23:38:11.793Z,projects/taller3-pcuneo/traces/0abccb9b898a516486e384863270942b
000006-7628f8fa-384f-49a5-8348-242e39c29fd4,scuo8hwjynye,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T23:38:12.464076556Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,The above exception was the direct cause of the following exception:,2021-10-10T23:38:11.791Z,projects/taller3-pcuneo/traces/37329dac19aea1544e91c7dcd5af88a7
