Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,1720,31,2500.0,3900.470288447642,190.58511199909844,10592.089547000796,3.5023255813953487,4.827807273295874,0.0870128055070768,2500,5500,7300,8300,9800,10000,10000,10000,11000,11000,11000
POST,/api/visits/about,1775,24,2800.0,4076.8810310754766,199.36343199879047,10621.52842499927,2.1622535211267606,4.982184831453591,0.0673647526506401,2800,5800,7700,8500,9800,10000,10000,10000,11000,11000,11000
GET,/api/visits/home,1780,27,2600.0,3975.4157211325332,189.96854400029406,10606.610845999967,3.506179775280899,4.996219154922474,0.07578534673197011,2600,5700,7400,8300,9800,10000,10000,10000,11000,11000,11000
POST,/api/visits/home,1823,16,2700.0,4046.3672593746337,197.32600600036676,10838.763787996868,2.1053208996160175,5.116914336754871,0.04490983510042673,2700,5800,7600,8400,9800,10000,10000,10000,11000,11000,11000
GET,/api/visits/jobs,453,5,3200.0,4158.329822180923,191.30215500263148,10666.564510000171,2.8741721854304636,1.2715097062808318,0.014034323468883354,3200,6000,7500,8400,10000,10000,10000,10000,11000,11000,11000
POST,/api/visits/jobs,469,5,3400.0,4193.383307993507,199.22991700150305,10568.116946000373,2.1279317697228146,1.3164195413812587,0.014034323468883354,3400,6000,7900,8500,9800,10000,10000,11000,11000,11000,11000
GET,/api/visits/legals,458,7,2000.0,3864.8488126224365,194.56339699900127,10513.10728399767,2.930131004366812,1.2855440297497152,0.019648052856436695,2100,5600,7400,8100,9900,10000,10000,10000,11000,11000,11000
POST,/api/visits/legals,476,8,2300.0,4000.595598951673,209.69703800074058,10554.868241000804,2.2016806722689077,1.3360675942376954,0.022454917550213366,2300,5600,7900,8700,9900,10000,10000,10000,11000,11000,11000
GET,/api/visits/offices,390,5,3200.0,4187.802353861525,194.1220489970874,10551.872801999707,2.8384615384615386,1.0946772305729016,0.014034323468883354,3200,6100,7600,8500,9800,10000,10000,10000,11000,11000,11000
POST,/api/visits/offices,397,6,3700.0,4251.742255589419,205.9432280002511,10539.812795999751,2.181360201511335,1.1143252834293382,0.016841188162660024,3700,5700,7500,8400,9900,10000,10000,10000,11000,11000,11000
GET,/site/about.html,1839,0,35,51.02191781460483,23.147722000430804,559.8376650013961,844.0,5.161824171855297,0.0,35,41,48,53,74,110,270,360,560,560,560
GET,/site/home.html,1866,0,39,62.66717249351211,23.354372999165207,1090.5463630006125,669.0,5.237609518587267,0.0,39,52,63,69,95,150,360,500,980,1100,1100
GET,/site/img/favicon.ico,5073,0,34,46.952339497137224,22.80663499914226,648.2312000007369,318.0,14.239224591529052,0.0,34,39,44,47,64,92,240,370,560,650,650
GET,/site/img/logo_fiuba.png,5072,0,38,50.46272059644252,25.280767000367632,654.3432960024802,6636.0,14.236417726835274,0.0,38,43,48,52,70,93,200,350,570,650,650
GET,/site/jobs.html,480,0,35,53.315943308257374,23.83161500256392,628.3007329984684,697.0,1.347295053012802,0.0,35,41,47,51,70,130,310,520,630,630,630
GET,/site/legals.html,483,0,36,51.712519144976504,24.440517998300493,523.6174999990908,690.0,1.355715647094132,0.0,36,43,48,52,76,120,280,430,520,520,520
GET,/site/offices.html,410,0,36,51.55648942926768,24.626280999655137,574.7596569999587,693.0,1.1508145244484351,0.0,36,40,46,49,74,100,310,390,570,570,570
GET,/site/visits.js,5072,0,35,45.78084813445239,22.811016999185085,579.6962489985162,1533.0,14.236417726835274,0.0,35,40,44,47,61,84,150,310,560,580,580
,Aggregated,30036,134,46,1340.1531185645822,22.80663499914226,10838.763787996868,1558.9764282860567,84.30698794227608,0.3761198689660739,46,190,550,1200,6400,8900,10000,10000,11000,11000,11000
