insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,textPayload,timestamp,trace
000000-995cdd15-a584-47b9-a1f9-0d300e7adefd,7yw9snjjfnj2,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 9232392 legals GET,2021-10-10T22:26:43.184Z,projects/taller3-pcuneo/traces/f1831dea98d2aa8a32acd8c5e8e71419
000000-9e00e53a-6bc1-4db2-a66e-81fa6eb1f335,7yw9i8y710pw,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 8032447 home GET,2021-10-10T22:26:43.092Z,projects/taller3-pcuneo/traces/37a29bda39684f954c1bc5ee85e7b57f
000000-fcde89fd-37c9-45bf-a1ba-33a64113d0d9,7yw9ygzzyopg,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 99022677 home GET,2021-10-10T22:26:42.991Z,projects/taller3-pcuneo/traces/df664fc1f23348e5ea59b5efb81823aa
000000-93e9a62b-c8a6-4684-a6ce-e959aa6602a8,7yw9bibtb2g9,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 73578395 about GET,2021-10-10T22:26:42.885Z,projects/taller3-pcuneo/traces/74b9f36191449aa92c9b5d0f8313f772
000000-aa20e97f-519f-41e8-a1e8-4d3f36261120,7yw937upyuhg,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 109887649 legals POST,2021-10-10T22:26:42.805Z,projects/taller3-pcuneo/traces/d5c9b4b4c9d4f02bfdd58760754f2ea7
000000-36c2f05f-1af7-4dae-90c4-e3c77a12038a,7yw9chw5v55d,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 93388833 about GET,2021-10-10T22:26:42.686Z,projects/taller3-pcuneo/traces/bad693742033d1282c4e68d43805dfa3
000000-02abacc1-02c9-4169-b543-a882f875fa2a,7yw9ib59v7yu,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 26743657 offices POST,2021-10-10T22:26:42.518Z,projects/taller3-pcuneo/traces/b12348708ae19d1b42ce700023ac3726
000000-644c536f-e623-4c30-85cc-29de84967058,7yw9a0bpu3fe,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 14145214 home GET,2021-10-10T22:26:42.405Z,projects/taller3-pcuneo/traces/938c20ffb0f5f8f71c2f5789a58f75db
000000-bb3096df-4aef-4c64-bbd3-9dc50871fa84,7yw9r6teqgus,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 63844234 home GET,2021-10-10T22:26:42.384Z,projects/taller3-pcuneo/traces/8d18bc4f838b054110ef93c60059303e
000000-f63ca7d1-4498-40d4-810f-c33d8ca94844,7yw9ly63dl7p,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T22:26:50.406924931Z,api,taller3-pcuneo,us-central1,cloud_function,api 128636832 jobs POST,2021-10-10T22:26:42.313Z,projects/taller3-pcuneo/traces/f63cf02543dd4486c3c1920a6acec54c
