Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,2006,37,2400.0,3916.150154201417,187.2923320006521,10827.975395997782,3.198903290129611,5.241978006102564,0.09668653351236035,2400,5000,6100,7300,10000,10000,10000,10000,11000,11000,11000
POST,/api/visits/about,2049,32,2400.0,3849.3795789907117,197.90975700016133,10671.104788998491,2.1874084919472914,5.354343436941253,0.08362078574041977,2400,4800,5900,7100,10000,10000,10000,10000,11000,11000,11000
GET,/api/visits/home,2054,39,2600.0,3957.3015133578574,186.96323999756714,10703.76841899997,3.220545277507303,5.3674091847131935,0.1019128326211366,2600,5100,6300,7400,10000,10000,10000,10000,11000,11000,11000
POST,/api/visits/home,2111,42,2600.0,4050.4209212685864,197.25352599925827,10835.63005600081,2.2387494078635717,5.516358709313317,0.10975228128430094,2600,5300,6400,7600,10000,10000,10000,10000,11000,11000,11000
GET,/api/visits/jobs,537,5,2200.0,3676.8980546368466,184.32010099786567,10433.768947001226,2.8007448789571696,1.4032613107064191,0.013065747771940589,2200,4600,5700,6300,10000,10000,10000,10000,10000,10000,10000
POST,/api/visits/jobs,551,12,2400.0,3869.5129656260774,201.1254450007982,10839.772817002086,2.2613430127041743,1.4398454044678528,0.031357794652657416,2400,4800,6100,7500,10000,10000,10000,10000,11000,11000,11000
GET,/api/visits/legals,493,9,2700.0,3927.5106388803247,193.53684099769453,10587.20265699958,2.813387423935091,1.288282730313342,0.02351834598949306,2700,5100,6100,7200,9900,10000,10000,10000,11000,11000,11000
POST,/api/visits/legals,506,11,2200.0,3784.4961737489657,207.14264500202262,10836.231657001917,2.260869565217391,1.3222536745203874,0.028744645098269295,2300,4900,5900,7000,10000,10000,10000,10000,11000,11000,11000
GET,/api/visits/offices,488,5,3000.0,4022.292981817665,189.61263399978634,10570.700784002838,2.7868852459016393,1.2752169825414015,0.013065747771940589,3000,5100,6000,7500,10000,10000,10000,10000,11000,11000,11000
POST,/api/visits/offices,495,14,2700.0,3974.9720035312844,212.0333610000671,10606.528326999978,2.3393939393939394,1.2935090294221183,0.03658409376143365,2700,5100,6200,7400,10000,10000,10000,10000,11000,11000,11000
GET,/site/about.html,2111,0,35,71.61178638987954,23.348224996880163,823.5487870006182,844.0,5.516358709313317,0.0,35,41,47,54,110,280,630,720,780,820,820
GET,/site/home.html,2166,0,40,86.45684162969775,23.105214000679553,1521.0769880031876,669.0,5.660081934804663,0.0,40,56,68,77,150,320,670,770,1500,1500,1500
GET,/site/img/favicon.ico,5869,0,34,65.50169686624324,22.131294001155766,827.6985100019374,318.0,15.336574734703863,0.0,34,40,46,52,97,230,580,690,780,830,830
GET,/site/img/logo_fiuba.png,5869,0,39,64.2113714200242,25.108961999649182,828.927629001555,6636.0,15.336574734703863,0.0,39,45,51,56,89,170,460,690,790,830,830
GET,/site/jobs.html,567,0,35,72.55903930145412,24.021776000154205,779.2666189998272,697.0,1.4816557973380626,0.0,35,41,47,52,110,340,620,670,780,780,780
GET,/site/legals.html,518,0,36,81.96639154438516,24.502282998582814,821.7219340003794,690.0,1.353611469173045,0.0,36,43,53,61,120,470,720,740,820,820,820
GET,/site/offices.html,507,0,35,64.49056947933607,24.56647900180542,789.9541590013541,693.0,1.3248668240747756,0.0,35,41,48,54,110,220,480,610,790,790,790
GET,/site/visits.js,5868,0,35,55.715425939971766,23.11506000114605,828.7572439985524,1533.0,15.333961585149474,0.0,35,40,45,50,74,130,320,630,780,830,830
,Aggregated,34765,206,48,1318.9464710810284,22.131294001155766,10839.772817002086,1558.2746152739824,90.84614425830291,0.5383088082039522,48,240,900,1700,5400,9600,10000,10000,11000,11000,11000
