Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,3704,0,310.0,500.88555796247215,188.9847769998596,10953.295192999803,3.1671166306695464,10.725185468720047,0.0,310,380,450,510,910,1400,2300,3500,7800,11000,11000
POST,/api/visits/about,3708,0,330.0,517.9764315744336,197.44683600015378,7776.3680569999,2.0,10.736767742444366,0.0,330,390,470,550,910,1500,2500,3400,7200,7800,7800
GET,/api/visits/home,3699,0,310.0,491.8038166542296,187.61981100010416,8461.8170440001,3.172749391727494,10.710707626564647,0.0,310,390,480,560,910,1400,2400,3300,6600,8500,8500
POST,/api/visits/home,3708,1,330.0,529.7968612073898,198.7233910001578,12379.983025000001,2.0032362459546924,10.736767742444366,0.0028955684310799264,330,400,470,550,910,1400,2600,3800,10000,12000,12000
GET,/api/visits/jobs,934,0,310.0,495.74102015525324,188.55221000012534,7824.214988999984,2.767665952890792,2.704460914628651,0.0,310,380,440,520,890,1500,2100,2800,7800,7800,7800
POST,/api/visits/jobs,935,0,330.0,485.949472802144,198.58546000000388,7738.80761800001,2.0,2.707356483059731,0.0,330,400,470,530,860,1400,2000,2600,7700,7700,7700
GET,/api/visits/legals,908,0,310.0,492.16772201101196,189.01518300003772,7291.5190209998855,2.7742290748898677,2.629176135420573,0.0,310,380,450,520,880,1400,2100,2700,7300,7300,7300
POST,/api/visits/legals,910,0,320.0,491.5015122736324,196.21818600012375,6228.730865999978,2.0,2.634967272282733,0.0,320,390,460,550,920,1300,2100,2600,6200,6200,6200
GET,/api/visits/offices,902,0,310.0,508.7750680620954,190.22450500006016,7625.94497300006,2.764966740576497,2.6118027248340936,0.0,310,380,460,520,950,1400,2300,3400,7600,7600,7600
POST,/api/visits/offices,904,0,330.0,494.2867658639387,198.26979100002973,9385.071671000105,2.0,2.6175938616962533,0.0,330,390,460,510,860,1300,2500,3000,9400,9400,9400
GET,/site/about.html,3724,0,36,40.28936444280312,23.249287999988155,192.16623800002708,844.0,10.783096837341645,0.0,36,41,45,48,58,70,87,110,180,190,190
GET,/site/home.html,3727,0,37,46.06411303246475,22.832894999964992,2943.647404999865,669.0,10.791783542634885,0.0,37,44,51,56,69,85,110,130,240,2900,2900
GET,/site/img/favicon.ico,10205,0,33,37.881455886231606,21.747729000026084,330.3672330000609,318.0,29.549275839170647,0.0,33,38,42,45,54,64,81,95,190,290,330
GET,/site/img/logo_fiuba.png,10195,0,37,42.01477879038764,24.09175699995103,333.9299189999565,6636.0,29.520320154859846,0.0,37,42,46,49,59,72,89,110,180,270,330
GET,/site/jobs.html,936,0,36,40.79297300640868,23.63659699994969,298.54190099990774,697.0,2.710252051490811,0.0,36,41,45,48,58,70,92,100,300,300,300
GET,/site/legals.html,910,0,36,40.82047406812477,23.354146999963632,206.50969299981625,690.0,2.634967272282733,0.0,36,41,44,48,59,73,90,100,210,210,210
GET,/site/offices.html,908,0,36,40.73690041409733,23.165586999994048,208.62548600007358,693.0,2.629176135420573,0.0,36,41,45,49,57,70,91,110,210,210,210
GET,/site/visits.js,10193,0,35,38.52934285862763,22.96191599998565,296.56217599995216,1533.0,29.51452901799769,0.0,35,39,42,45,54,64,78,89,160,230,300
,Aggregated,61110,1,44,195.0348993704615,21.747729000026084,12379.983025000001,1540.2134020618557,176.9481868232943,0.0028955684310799264,44,100,260,290,410,680,1200,1900,5900,9400,12000
