Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,1804,72,2400.0,3727.8092164445807,191.9022269994457,10708.642057999896,4.276053215077606,5.041310335739318,0.20120529056165792,2400,3800,5800,7700,10000,10000,10000,10000,11000,11000,11000
POST,/api/visits/about,1870,64,2600.0,3808.1158638545603,196.8270309989748,10799.087112000052,2.7411764705882353,5.2257485187541715,0.17884914716591815,2600,3900,5900,7900,10000,10000,10000,10000,11000,11000,11000
GET,/api/visits/home,1847,77,2400.0,3801.875418081199,191.05476000004273,10785.684692998984,3.9718462371413104,5.161474606491419,0.21517788018399528,2400,3900,6400,7900,10000,10000,10000,10000,11000,11000,11000
POST,/api/visits/home,1904,63,2400.0,3810.01813109292,204.2267010001524,10714.04682299908,3.046218487394958,5.3207621281860655,0.17605462924145068,2400,4000,6100,7800,10000,10000,10000,11000,11000,11000,11000
GET,/api/visits/jobs,479,21,2400.0,3715.647369235908,198.531168000045,10621.143180998843,5.175365344467641,1.3385740858199187,0.058684876413816894,2400,3700,5300,7900,10000,10000,10000,11000,11000,11000,11000
POST,/api/visits/jobs,492,13,2500.0,3819.8195657052233,220.14579700044123,10863.109209998584,3.573170731707317,1.374902818837996,0.036328733018077125,2500,4100,6400,7800,10000,10000,10000,11000,11000,11000,11000
GET,/api/visits/legals,457,18,2400.0,3738.0933410634575,200.21425599952636,10544.750577000741,3.183807439824945,1.2770946914816343,0.05030132264041448,2400,3800,6000,7900,10000,10000,10000,10000,11000,11000,11000
POST,/api/visits/legals,461,21,2400.0,3718.7180423709015,212.24153299954196,10690.852715999426,4.557483731019523,1.2882727631795043,0.058684876413816894,2400,3900,5600,7400,10000,10000,11000,11000,11000,11000,11000
GET,/api/visits/offices,424,11,2500.0,3967.7042793301457,194.3846129997837,10693.046676999074,3.740566037735849,1.1848755999742078,0.030739697169142183,2600,4100,7400,9100,10000,10000,10000,11000,11000,11000,11000
POST,/api/visits/offices,436,15,2500.0,3720.651758133044,209.42189900051744,10713.729543000227,2.4128440366972477,1.2184098150678175,0.04191776886701207,2500,3800,5300,7200,10000,10000,10000,11000,11000,11000,11000
GET,/site/about.html,1914,0,35,44.81651269908777,24.04500999909942,394.0226770009758,844.0,5.34870730743074,0.0,35,41,46,51,68,91,140,190,360,390,390
GET,/site/home.html,1955,0,39,51.827800226077706,24.103115998514113,576.4546240006894,669.0,5.463282542333906,0.0,39,49,60,67,86,110,170,230,450,580,580
GET,/site/img/favicon.ico,5296,0,34,42.21850469617127,22.829257999546826,386.69382099942595,318.0,14.799766927979729,0.0,34,39,44,48,59,79,130,170,360,390,390
GET,/site/img/logo_fiuba.png,5296,0,39,46.0312897326354,24.54471199962427,390.7999729999574,6636.0,14.799766927979729,0.0,39,44,49,52,66,85,120,160,360,390,390
GET,/site/jobs.html,507,0,36,44.370265333376885,24.762049000855768,394.6522920014104,697.0,1.416820587705008,0.0,36,41,44,50,67,89,120,160,390,390,390
GET,/site/legals.html,474,0,36,43.733102369173565,24.9819730015588,291.4436669998395,690.0,1.3246014961975814,0.0,36,41,46,49,61,86,130,200,290,290,290
GET,/site/offices.html,446,0,36,43.720034385674936,24.80854100031138,355.5015830006596,693.0,1.246354994312492,0.0,36,41,46,49,64,86,130,170,360,360,360
GET,/site/visits.js,5296,0,35,41.65241476945325,23.279905999515904,375.3633960004663,1533.0,14.799766927979729,0.0,35,40,44,47,59,75,110,150,330,380,380
,Aggregated,31358,375,46,1257.9426713211258,22.829257999546826,10863.109209998584,1559.2954588940622,87.63049307545096,1.0479442216753017,46,120,840,1800,4300,9500,10000,10000,11000,11000,11000
