Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,228,124,4000.0,2866.835267587735,239.26026499975706,4229.9432650006565,0.9035087719298246,1.9121202534236688,1.0399250501076094,4000,4000,4000,4000,4100,4100,4100,4200,4200,4200,4200
POST,/api/visits/about,239,123,4000.0,2808.0152317698585,232.17889799980185,4262.03139900008,0.9707112970711297,2.0043716691590214,1.0315385577680318,4000,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
GET,/api/visits/home,270,143,4000.0,2896.8603527444598,203.7748200000351,4245.465071999206,1.0296296296296297,2.2643529316859237,1.1992684045595818,4000,4000,4000,4000,4100,4100,4100,4200,4200,4200,4200
POST,/api/visits/home,318,184,4000.0,3029.3459042421537,215.01084200008336,4167.261898000106,0.8427672955974843,2.6669045639856432,1.543114590482259,4000,4000,4000,4000,4100,4100,4100,4100,4200,4200,4200
GET,/api/visits/jobs,56,27,3700.0,2657.599616499949,228.6798369996177,4097.614397999678,0.875,0.4696435710163397,0.22643529316859237,3900,4000,4000,4000,4100,4100,4100,4100,4100,4100,4100
POST,/api/visits/jobs,72,41,4000.0,2959.7062265000254,244.01149000004807,4299.129345999972,0.8611111111111112,0.6038274484495796,0.3438461859226773,4000,4000,4000,4000,4100,4100,4200,4300,4300,4300,4300
GET,/api/visits/legals,67,38,4000.0,3048.2911978059565,234.58743299943308,4138.28146600008,0.7313432835820896,0.5618949867516921,0.3186867089039448,4000,4000,4000,4000,4100,4100,4100,4100,4100,4100,4100
POST,/api/visits/legals,75,42,4000.0,3097.070560493363,287.4350400006733,4245.416390000173,0.88,0.6289869254683121,0.3522326782622548,4000,4000,4000,4000,4100,4100,4200,4200,4200,4200,4200
GET,/api/visits/offices,30,8,1300.0,2187.3456220000962,261.52762200035795,5046.6841899997235,1.1666666666666667,0.25159477018732485,0.06709193871661996,1300,3400,4000,4000,4100,4300,5000,5000,5000,5000,5000
POST,/api/visits/offices,36,14,2900.0,2438.150317083303,296.31960799997614,4063.8115929996275,1.2222222222222223,0.3019137242247898,0.11741089275408492,3100,4000,4000,4000,4000,4100,4100,4100,4100,4100,4100
GET,/img/favicon.ico,511,0,800.0,825.5766626536314,486.9734490002884,1423.485760999938,91163.79060665362,4.2854975855241,0.0,800,850,890,920,1000,1100,1100,1300,1400,1400,1400
GET,/img/logo_fiuba.png,509,0,770.0,793.3089719017736,503.8919969993003,1249.0814929997214,91178.60707269155,4.268724600844945,0.0,770,800,830,860,960,1000,1100,1100,1200,1200,1200
GET,/site/about.html,167,0,54,68.31045229342406,25.49583700056246,237.93553299947234,844.0,1.4005442207094416,0.0,54,70,84,98,120,180,200,220,240,240,240
GET,/site/home.html,212,0,69,91.7992936320577,25.56807699966157,519.7941659998833,669.0,1.777936375990429,0.0,69,85,110,120,170,240,300,380,520,520,520
GET,/site/jobs.html,54,0,61,85.43324685191085,27.10823100005655,261.75739799964504,697.0,0.45287058633718474,0.0,69,89,110,140,190,210,240,260,260,260,260
GET,/site/legals.html,52,0,55,74.36000032691062,24.02276099928713,285.7040520002556,690.0,0.43609760165802974,0.0,57,75,86,110,120,200,220,290,290,290,290
GET,/site/offices.html,29,0,42,72.32696131026826,25.364088000060292,221.7011980001189,693.0,0.24320827784774735,0.0,42,67,100,120,170,200,220,220,220,220,220
GET,/visits.js,506,0,770.0,791.3993954743072,505.4175830000531,1454.7871919994577,91114.30039525691,4.243565123826213,0.0,770,800,820,840,920,970,1000,1200,1500,1500,1500
,Aggregated,3431,744,810.0,1541.717083014286,24.02276099928713,5046.6841899997235,40651.74118332848,28.774055217090385,6.239550300645656,810,1000,3000,4000,4000,4100,4100,4100,4300,5000,5000
