Method,Name,Error,Occurrences
POST,/api/visits/jobs,[Errno -2] Name or service not known,97
GET,/img/favicon.ico,"HTTPSConnectionPool(host='accounts.google.com', port=443): Read timed out. (read timeout=32)",5
POST,/api/visits/about,[Errno -2] Name or service not known,246
GET,/api/visits/home,[Errno 24] Too many open files,113
GET,/visits.js,[Errno 24] Too many open files,57
POST,/api/visits/about,[Errno 24] Too many open files,24
GET,/visits.js,"HTTPSConnectionPool(host='accounts.google.com', port=443): Read timed out. (read timeout=32)",5
POST,/api/visits/jobs,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",126
GET,/visits.js,"HTTPSConnectionPool(host='accounts.google.com', port=443): Read timed out.",60
GET,/site/home.html,[Errno 24] Too many open files,165
GET,/api/visits/about,[Errno -2] Name or service not known,460
POST,/api/visits/legals,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",58
GET,/site/offices.html,[Errno 24] Too many open files,3
GET,/api/visits/offices,[Errno -2] Name or service not known,106
GET,/img/logo_fiuba.png,[Errno 104] Connection reset by peer,1
GET,/api/visits/offices,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",55
GET,/img/favicon.ico,503 Server Error: Service Unavailable for url: http://us-central1-taller3-pcuneo.cloudfunctions.net/img/favicon.ico,1
GET,/api/visits/legals,[Errno -2] Name or service not known,81
GET,/visits.js,[Errno -2] Name or service not known,455
GET,/img/favicon.ico,[Errno 24] Too many open files,86
GET,/img/favicon.ico,Remote end closed connection without response,25
GET,/img/logo_fiuba.png,[Errno -2] Name or service not known,504
GET,/site/home.html,[Errno -2] Name or service not known,1452
GET,/site/jobs.html,[Errno 24] Too many open files,16
GET,/img/logo_fiuba.png,Remote end closed connection without response,4
GET,/img/favicon.ico,[Errno 104] Connection reset by peer,2
GET,/img/logo_fiuba.png,"HTTPSConnectionPool(host='accounts.google.com', port=443): Read timed out.",64
POST,/api/visits/offices,[Errno -2] Name or service not known,44
GET,/img/favicon.ico,[Errno 24] Too many open files,55
POST,/api/visits/home,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",712
GET,/api/visits/legals,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",48
GET,/api/visits/home,"(<urllib3.connection.HTTPConnection object at 0x7f6fff227040>, 'Connection to us-central1-taller3-pcuneo.cloudfunctions.net timed out. (connect timeout=4)')",2
GET,/site/offices.html,[Errno -2] Name or service not known,35
GET,/api/visits/jobs,[Errno 24] Too many open files,33
POST,/api/visits/home,[Errno -2] Name or service not known,511
GET,/visits.js,[Errno 104] Connection reset by peer,2
GET,/api/visits/jobs,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",71
GET,/img/favicon.ico,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=32)",9
GET,/api/visits/about,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",153
POST,/api/visits/legals,[Errno 24] Too many open files,10
GET,/img/logo_fiuba.png,[Errno 24] Too many open files,51
GET,/site/about.html,[Errno -2] Name or service not known,208
POST,/api/visits/about,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",299
GET,/site/legals.html,[Errno 24] Too many open files,6
GET,/img/logo_fiuba.png,[Errno 24] Too many open files,48
GET,/api/visits/about,[Errno 24] Too many open files,34
GET,/img/favicon.ico,"HTTPSConnectionPool(host='accounts.google.com', port=443): Read timed out.",63
GET,/visits.js,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=32)",17
POST,/api/visits/offices,[Errno 24] Too many open files,8
GET,/site/about.html,[Errno 24] Too many open files,40
GET,/visits.js,Remote end closed connection without response,2
GET,/api/visits/legals,[Errno 24] Too many open files,13
POST,/api/visits/offices,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",59
GET,/visits.js,[Errno 24] Too many open files,67
GET,/site/legals.html,[Errno -2] Name or service not known,43
GET,/img/logo_fiuba.png,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=32)",13
GET,/img/logo_fiuba.png,"HTTPSConnectionPool(host='accounts.google.com', port=443): Read timed out. (read timeout=32)",6
GET,/api/visits/about,"(<urllib3.connection.HTTPConnection object at 0x7f6ffddee310>, 'Connection to us-central1-taller3-pcuneo.cloudfunctions.net timed out. (connect timeout=4)')",1
GET,/api/visits/home,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",367
GET,/api/visits/home,[Errno -2] Name or service not known,986
POST,/api/visits/legals,[Errno -2] Name or service not known,44
GET,/img/favicon.ico,[Errno -2] Name or service not known,520
GET,/api/visits/jobs,[Errno -2] Name or service not known,181
GET,/site/jobs.html,[Errno -2] Name or service not known,107
GET,/api/visits/offices,[Errno 24] Too many open files,11
POST,/api/visits/home,[Errno 24] Too many open files,85
POST,/api/visits/jobs,[Errno 24] Too many open files,12
