httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,390,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd000863012e2bfa62,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.834148221Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.549633Z,projects/taller3-pcuneo/traces/859218c79b2e3577bc30d02cd30e73d0
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,GET,391,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/about,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd000661ba539338d7,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.656384681Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.418234Z,projects/taller3-pcuneo/traces/771e4be608954594ffc60881b7a7e3ac
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,409,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/jobs,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd0006618c26f86602,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.656384681Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.418188Z,projects/taller3-pcuneo/traces/5868e4e39d44122e1203d13e17f63bd2
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,408,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd00066188b63a66e6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.656384681Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.418184Z,projects/taller3-pcuneo/traces/ca0852c2ee9d1727451163f45d9494d6
0s,HTTP/1.1,201.176.130.88,POST,404,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,216.239.36.54,429,python-requests/2.26.0,6161e0cd000070f84bfde91e,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.166122167Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.028920Z,projects/taller3-pcuneo/traces/30fb19cce0fdc2b78076f68bbd986455
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,409,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd00007014af0abdcb,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.166122167Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.028692Z,projects/taller3-pcuneo/traces/59b2ad036ec2f4d90860780bbcc82962
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd000070139f732ec3,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.166122167Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.028691Z,projects/taller3-pcuneo/traces/40e7c555fdc547d3790399e0ea6acf97
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,409,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/jobs,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd00007001b1a01521,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.166122167Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.028673Z,projects/taller3-pcuneo/traces/79e26053c3d2bec865e66644b8de0859
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,409,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd00006ffdf45692d0,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.166122167Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.028669Z,projects/taller3-pcuneo/traces/5338d5345c8e29a418a2b559e90aaeae
0s,HTTP/1.1,2802:8010:153d:d000:ef1b:f11e:2b38:db7d,POST,410,http://us-central1-taller3-pcuneo.cloudfunctions.net/api/visits/home,14,2001:4860:4802:36::36,429,python-requests/2.26.0,6161e0cd00006ff4e6bace17,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Frequests,2021-10-09T18:34:53.166122167Z,api,taller3-pcuneo,us-central1,cloud_function,WARNING,The request was aborted because there was no available instance.,2021-10-09T18:34:53.028660Z,projects/taller3-pcuneo/traces/561fa99578cc0fde341ad63bbe9e4a29
