Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,1877,648,680.0,2215.307355591223,1.748918992234394,97391.89100298972,2.0516782099094297,3.6550863875521973,1.2618518801991603,680,1200,1500,1800,4000,4600,13000,47000,97000,97000,97000
POST,/api/visits/about,1844,569,920.0,3122.1345042575826,2.58920100168325,96601.92984099558,1.3828633405639914,3.5908254121716845,1.108014999742781,920,1600,2600,4000,4200,5400,45000,62000,91000,97000,97000
GET,/api/visits/home,2854,1468,630.0,2319.24581297548,1.3999549992149696,98589.1985049966,1.5693763139453398,5.557600719272227,2.85863975329069,630,1200,1700,2600,4300,5400,14000,44000,95000,99000,99000
POST,/api/visits/home,2796,1308,1200.0,2886.3510247538193,2.0358289912110195,91237.83992299286,1.0643776824034334,5.444657186785266,2.547071387809416,1200,2800,4000,4100,4500,5300,12000,41000,85000,91000,91000
GET,/api/visits/jobs,658,285,660.0,2160.020962054563,2.1955939882900566,97042.88641200401,1.5592705167173253,1.28132490304174,0.5549811510135195,660,1100,1500,2000,4000,4700,21000,36000,97000,97000,97000
POST,/api/visits/jobs,633,235,940.0,3070.665094722423,6.932028001756407,100072.8480329999,1.2575039494470774,1.2326423459352909,0.4576160368006214,940,1800,3800,4000,4300,6500,30000,59000,100000,100000,100000
GET,/api/visits/legals,446,142,650.0,2804.9602131769757,2.0216519915265962,95808.72386699775,1.811659192825112,0.8684968187790516,0.27651692436463077,660,1200,1600,2100,4000,5400,53000,59000,96000,96000,96000
POST,/api/visits/legals,429,112,810.0,2269.3312026755416,6.966710992855951,71495.9265649959,1.4778554778554778,0.8353926799466662,0.2180978558368919,810,1300,2100,2900,4100,4500,12000,34000,71000,71000,71000
GET,/api/visits/offices,450,172,750.0,2636.707863919825,2.723746991250664,88572.6970340038,1.6333333333333333,0.8762860279160835,0.3349359928923697,750,1300,1700,2400,4100,5300,27000,56000,89000,89000,89000
POST,/api/visits/offices,412,111,930.0,2952.491984504609,14.264419995015487,96098.44712400809,1.4611650485436893,0.8022885411142809,0.21615055355263393,940,1400,2700,3600,4100,5500,35000,55000,96000,96000,96000
GET,/img/favicon.ico,4787,766,2900.0,11962.0023877394,232.8278710047016,149711.23003000685,76440.70231878002,9.321736034742871,1.4916335497416,2900,5400,11000,18000,39000,58000,79000,93000,128000,150000,150000
GET,/img/logo_fiuba.png,4701,691,2400.0,9432.19017629225,99.80926899879705,131803.29228901246,77638.37651563497,9.154268038296685,1.3455858784222527,2400,4000,7100,12000,32000,44000,65000,82000,116000,132000,132000
GET,/site/about.html,1773,248,420.0,1746.4576288983842,1.8607649981277063,91290.4846809979,725.9447264523407,3.452566949989369,0.4829309664959749,420,820,1100,1400,3100,6600,13000,24000,64000,91000,91000
GET,/site/home.html,3713,1617,920.0,12220.520559391567,1.494970012572594,164799.22705799981,377.6525720441691,7.230333381449817,3.1487877936451265,920,3000,8400,18000,52000,75000,92000,96000,99000,165000,165000
GET,/site/jobs.html,633,123,300.0,1400.633960882892,1.6070569981820881,61126.627039004234,561.5639810426541,1.2326423459352909,0.23951818096372948,300,700,1000,1100,2700,5400,10000,19000,61000,61000,61000
GET,/site/legals.html,419,49,410.0,1740.8175502528259,2.754084998741746,91203.95923800243,609.3078758949881,0.8159196571040866,0.0954178119286402,410,810,1000,1300,2400,5300,13000,33000,91000,91000,91000
GET,/site/offices.html,378,38,310.0,1006.9708608149163,2.079328987747431,57967.75108500151,623.3333333333334,0.7360802634495102,0.07399748680180261,310,610,880,1100,2100,3800,7100,9000,58000,58000,58000
GET,/visits.js,4617,665,2500.0,9032.038406340114,258.9114389993483,125466.17599199817,77867.52978124323,8.990694646419017,1.2949560190315457,2500,4000,7100,12000,30000,44000,62000,74000,102000,125000,125000
,Aggregated,33420,9247,1500.0,6773.455779273069,1.3999549992149696,164799.22705799981,32733.937941352484,65.07884233990113,18.006704222533386,1500,2700,4000,4700,19000,40000,67000,80000,107000,139000,165000
