Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,950,377,1700.0,2169.289391739979,189.33491700045124,4329.1256319998865,2.4126315789473685,4.6110285067437875,1.82985026004464,1700,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
POST,/api/visits/about,1019,422,1900.0,2226.440701835128,200.1979320002647,4325.076300000546,1.1717369970559373,4.945934787759915,2.0482673998377665,1900,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
GET,/api/visits/home,980,373,1600.0,2126.495389432675,188.88969199997518,4334.312946999489,2.477551020408163,4.756639933272539,1.8104354031741399,1600,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
POST,/api/visits/home,1033,398,1700.0,2189.05613289159,199.10410000011325,4319.055555999512,1.229428848015489,5.013886786806665,1.9317782586147658,1700,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
GET,/api/visits/jobs,269,112,1800.0,2218.463627933108,190.53777199951583,4176.564498000516,1.7509293680297398,1.3056491245411357,0.5436159923740045,1800,4000,4000,4000,4000,4100,4100,4100,4200,4200,4200
POST,/api/visits/jobs,271,106,1800.0,2194.010629464944,199.8389300006238,4091.2683939995986,1.2177121771217712,1.3153565529763858,0.5144937070682541,1800,4000,4000,4000,4000,4100,4100,4100,4100,4100,4100
GET,/api/visits/legals,267,120,2600.0,2328.0797483970177,194.29745399975218,4187.990162999995,1.651685393258427,1.2959416961058856,0.5824457061150048,2600,4000,4000,4000,4000,4100,4100,4100,4200,4200,4200
POST,/api/visits/legals,255,97,1600.0,2170.0400216274143,196.12946300003387,4103.752032000557,1.2392156862745098,1.2376971254943852,0.47081027910962886,1600,4000,4000,4000,4000,4000,4100,4100,4100,4100,4100
GET,/api/visits/offices,224,97,2700.0,2345.1999687946004,186.6742410002189,4280.173969000316,1.7008928571428572,1.087231984748009,0.47081027910962886,2800,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
POST,/api/visits/offices,231,96,1900.0,2246.206008212102,201.43561199984106,4292.962599999555,1.1688311688311688,1.1212079842713842,0.4659565648920038,1900,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
GET,/site/about.html,732,0,34,59.458589271845916,23.202022000077704,430.44236399964575,844.0,3.5529188073015288,0.0,34,48,60,64,91,220,360,390,430,430,430
GET,/site/home.html,769,0,47,66.29874078670416,23.099672999705945,822.4326599993219,669.0,3.7325062333536554,0.0,47,61,68,73,99,180,370,420,820,820,820
GET,/site/img/favicon.ico,2045,0,32,44.83135360292987,22.375759000169637,416.70564000014565,318.0,9.925845575043207,0.0,32,36,40,43,58,88,300,380,410,420,420
GET,/site/img/logo_fiuba.png,2045,0,35,47.23817734181011,24.754625000241504,432.2781910004778,6636.0,9.925845575043207,0.0,35,39,43,47,63,89,290,380,410,430,430
GET,/site/jobs.html,194,0,34,47.888460407188944,24.022543999308255,394.8573589996158,697.0,0.9416205582192577,0.0,34,39,47,54,75,110,180,330,390,390,390
GET,/site/legals.html,189,0,36,59.20101731214619,23.923069999909785,419.1039990000718,690.0,0.9173519871311325,0.0,36,46,63,66,95,200,370,400,420,420,420
GET,/site/offices.html,161,0,35,51.392154757732044,23.314682000091125,434.39292600032786,693.0,0.7814479890376314,0.0,35,45,56,59,87,110,170,320,430,430,430
GET,/site/visits.js,2044,0,32,43.39565166780696,23.174144999757118,421.4156569996703,1533.0,9.92099186082558,0.0,32,37,41,44,58,78,160,370,410,420,420
,Aggregated,13678,2198,56,912.8214470168851,22.375759000169637,4334.312946999489,1379.82490130136,66.3891030686753,10.668463850339837,56,360,860,1800,4000,4000,4100,4100,4300,4300,4300
