Method,Name,Error,Occurrences
POST,/api/visits/jobs,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",106
POST,/api/visits/legals,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",97
GET,/api/visits/offices,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",97
POST,/api/visits/home,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",398
GET,/api/visits/legals,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",120
GET,/api/visits/jobs,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",112
GET,/api/visits/about,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",377
POST,/api/visits/about,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",422
POST,/api/visits/offices,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",96
GET,/api/visits/home,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",373
