Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,3241,382,9600.0,6861.8408399040445,189.89585599956627,11708.968895998623,5.178648565257636,5.5302083163494355,0.6518172097641112,9600,10000,10000,10000,10000,10000,11000,11000,11000,12000,12000
POST,/api/visits/about,3326,389,9500.0,6862.487091422131,199.53401500060863,11562.084942999718,3.403487672880337,5.675246177160822,0.6637615041838724,9500,10000,10000,10000,10000,10000,11000,11000,11000,12000,12000
GET,/api/visits/home,3325,400,9500.0,6851.309096276398,192.3779859989736,11007.396557999527,5.203007518796992,5.67353984938657,0.68253110970064,9500,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000
POST,/api/visits/home,3396,408,9600.0,6898.394287671094,193.47860900052183,14484.32651299845,3.441696113074205,5.7946891213584335,0.6961817318946528,9600,10000,10000,10000,10000,10000,11000,11000,11000,14000,14000
GET,/api/visits/jobs,838,113,9500.0,6642.294781211216,184.13422900084697,10821.97597800041,4.731503579952268,1.4299026748228407,0.1928150384904308,9500,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000
POST,/api/visits/jobs,863,91,9500.0,6667.549099835481,198.81585700022697,11032.154222999452,3.265353418308227,1.4725608691791308,0.1552758274568956,9500,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000
GET,/api/visits/legals,834,99,9700.0,7018.019297720611,194.71363900083816,10707.316652998998,4.488009592326139,1.4230773637258345,0.16892644965090842,9700,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000
POST,/api/visits/legals,857,97,9600.0,6956.202115665101,201.601443999607,10850.876858999982,3.3582263710618436,1.4623229025336213,0.16551379410240522,9600,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000
GET,/api/visits/offices,749,96,9500.0,6672.4032905901795,190.6784080001671,10828.618880001159,4.464619492656876,1.2780395029144485,0.1638074663281536,9500,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000
POST,/api/visits/offices,764,77,9400.0,6684.438446366473,208.46037699993758,10980.898265001088,3.2094240837696337,1.3036344195282223,0.1313872386173732,9400,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000
GET,/site/about.html,3426,0,36,44.19571021630314,23.264765999556403,431.39899199923093,844.0,5.845878954585982,0.0,36,42,47,51,66,87,130,160,370,430,430
GET,/site/home.html,3470,0,39,51.340820644673855,23.02004100056365,550.6583990008949,669.0,5.920957376653052,0.0,39,50,60,65,86,110,160,200,450,550,550
GET,/site/img/favicon.ico,9438,0,34,41.211520094302266,22.78796899918234,429.97039599868003,318.0,16.1043215333866,0.0,34,40,44,47,61,80,110,150,290,430,430
GET,/site/img/logo_fiuba.png,9431,0,38,45.219953794944416,24.07769799901871,447.0675550001033,6636.0,16.09237723896684,0.0,38,44,49,53,68,87,120,150,260,450,450
GET,/site/jobs.html,880,0,36,44.34180995116631,24.187246001019957,409.69523300009314,697.0,1.501568441341408,0.0,36,42,46,49,67,92,140,170,410,410,410
GET,/site/legals.html,881,0,36,45.33404912371959,23.02844800033199,336.0246950014698,690.0,1.5032747691156596,0.0,36,42,49,54,69,92,150,180,340,340,340
GET,/site/offices.html,781,0,36,43.28756801022606,24.12738699968031,299.1967830002977,693.0,1.3326419916904997,0.0,36,41,47,51,64,85,120,150,300,300,300
GET,/site/visits.js,9431,0,35,41.75263530600921,22.535265001351945,412.29775399915525,1533.0,16.09237723896684,0.0,35,40,45,49,61,77,110,140,300,410,410
,Aggregated,55931,2152,46,2255.6776718655465,22.535265001351945,14484.32651299845,1557.1842448731472,95.43661874166624,3.6720173701894434,46,120,1800,7300,10000,10000,10000,11000,11000,11000,14000
