httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
,,,,,,,,,,000000-aee076de-eed0-4bea-9e79-8e4f7600e1e9,z1svnyo3bgj2,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:25.002789881Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 394 ms, finished with status code: 200",2021-10-10T17:59:17.756208398Z,projects/taller3-pcuneo/traces/72b39a84bd00b3b3b0c379cda56a3ffb
,,,,,,,,,,000000-5ccc801a-7cbc-47af-b9d5-317b2dc7861c,x7s10qv60znq,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:26.298357206Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 92 ms, finished with status code: 200",2021-10-10T17:59:17.750736435Z,projects/taller3-pcuneo/traces/6517674fc36a41c91839c33f3ffe7f3a
,,,,,,,,,,000000-424b5df6-9839-4321-b3fe-b392158cbef7,x7s10qv60znq,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:26.298357206Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.010000000000005116 about GET,2021-10-10T17:59:17.749Z,projects/taller3-pcuneo/traces/6517674fc36a41c91839c33f3ffe7f3a
,,,,,,,,,,000000-3c9ce9ad-cffd-47ae-81a3-fa68ec96e3df,eemmphntr81i,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:24.727024426Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 76 ms, finished with status code: 200",2021-10-10T17:59:17.680648369Z,projects/taller3-pcuneo/traces/a252a5be03d3a70321aca07d3ea7e8a7
,,,,,,,,,,000000-d03f94b6-acd9-4705-9df5-017154250ccf,eemmphntr81i,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:24.727024426Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.010000000000005116 home POST,2021-10-10T17:59:17.679Z,projects/taller3-pcuneo/traces/a252a5be03d3a70321aca07d3ea7e8a7
,,,,,,,,,,000000-a362798e-0bf3-4417-ab42-f3198fb70570,z1svnyo3bgj2,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:25.002789881Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.029999999999986926 home POST,2021-10-10T17:59:17.665Z,projects/taller3-pcuneo/traces/72b39a84bd00b3b3b0c379cda56a3ffb
,,,,,,,,,,000000-d359f347-1927-4263-ba42-d6fe5efecd58,x7s10qv60znq,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:26.298357206Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:17.659732455Z,projects/taller3-pcuneo/traces/6517674fc36a41c91839c33f3ffe7f3a
,,,,,,,,,,000000-538da217-721f-4737-b0a9-ba27b23d64df,x7s1jkvgb8xl,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:26.298357206Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 101 ms, finished with status code: 200",2021-10-10T17:59:17.655959656Z,projects/taller3-pcuneo/traces/c7adbdd30748ac21ffcf63e92855d2f2
,,,,,,,,,,000000-30bb6833-3195-4659-b3c9-62cf5a55b0ed,x7s1jkvgb8xl,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:26.298357206Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.04999999999999716 jobs GET,2021-10-10T17:59:17.654Z,projects/taller3-pcuneo/traces/c7adbdd30748ac21ffcf63e92855d2f2
,,,,,,,,,,000000-c8df3d12-7db6-491a-8c87-7e037b66d660,eemmphntr81i,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:24.727024426Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:17.605063275Z,projects/taller3-pcuneo/traces/a252a5be03d3a70321aca07d3ea7e8a7
