Method,Name,Error,Occurrences
POST,/api/visits/jobs,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",120
POST,/api/visits/legals,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",106
GET,/api/visits/offices,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",58
POST,/api/visits/home,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",435
GET,/api/visits/legals,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",91
GET,/api/visits/jobs,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",103
GET,/api/visits/about,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",347
POST,/api/visits/about,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",382
POST,/api/visits/offices,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",92
GET,/api/visits/home,"HTTPConnectionPool(host='us-central1-taller3-pcuneo.cloudfunctions.net', port=80): Read timed out. (read timeout=4)",366
