Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,1027,347,1700.0,2082.137285852944,187.29805200018745,4378.622911000093,1.8812074001947419,4.745468860464097,1.603386265414841,1700,3800,4000,4000,4000,4100,4100,4100,4300,4400,4400
POST,/api/visits/about,1090,382,1800.0,2107.2587027220115,199.0801960000681,4393.1425640003,1.2990825688073395,5.036573571476014,1.7651111048659058,1800,4000,4000,4000,4000,4100,4100,4100,4400,4400,4400
GET,/api/visits/home,1088,366,1700.0,2089.814206988976,191.46363199979533,4338.587150000421,1.8933823529411764,5.02733215207881,1.6911797496882761,1700,3900,4000,4000,4100,4100,4100,4100,4300,4300,4300
POST,/api/visits/home,1174,435,1900.0,2187.108382603068,199.24769699991884,4507.467684999938,1.2589437819420783,5.424713186158569,2.0100087188918034,1900,4000,4000,4000,4000,4100,4100,4100,4300,4500,4500
GET,/api/visits/jobs,292,103,1900.0,2145.742890815082,190.33898199995747,4122.48619499951,1.5547945205479452,1.3492472319917395,0.4759330989559903,1900,4000,4000,4000,4000,4100,4100,4100,4100,4100,4100
POST,/api/visits/jobs,314,120,2000.0,2220.3990614076533,198.303964999468,4306.818382000529,1.2356687898089171,1.45090284536098,0.5544851638322217,2000,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
GET,/api/visits/legals,257,91,2100.0,2187.7123841206185,190.20657400051277,4342.1037369998885,1.4552529182879377,1.1875223925406748,0.4204845825727681,2100,4000,4000,4000,4100,4100,4100,4100,4300,4300,4300
POST,/api/visits/legals,276,106,2100.0,2233.5063221630307,201.81613699969603,4281.519449999905,1.2318840579710144,1.27531587681411,0.4897952280517958,2200,4000,4000,4000,4000,4100,4100,4200,4300,4300,4300
GET,/api/visits/offices,217,58,1100.0,1775.59286261293,195.49621800069872,4131.144682000013,1.6589861751152073,1.0026940045966009,0.26800116251890715,1100,2300,4000,4000,4100,4100,4100,4100,4100,4100,4100
POST,/api/visits/offices,251,92,1400.0,2087.090124147411,197.50864800062118,4274.279246999868,1.2669322709163346,1.1597981343490638,0.42510529227136995,1400,4000,4000,4000,4000,4100,4100,4100,4300,4300,4300
GET,/site/about.html,827,0,37,56.117558137837484,23.063485999955446,383.5094599999138,844.0,3.821326920743728,0.0,37,46,60,69,99,190,250,310,380,380,380
GET,/site/home.html,871,0,44,69.811701909288,22.73369599970465,693.5310200005915,669.0,4.024638147482209,0.0,44,61,73,84,130,230,310,400,690,690,690
GET,/site/img/favicon.ico,2327,0,32,47.18137521788119,21.564458000284503,387.0162460007123,318.0,10.752391468646499,0.0,32,38,43,48,65,130,260,300,350,390,390
GET,/site/img/logo_fiuba.png,2327,0,37,51.17862093381458,23.879150000539084,407.7117630004068,6636.0,10.752391468646499,0.0,37,43,50,55,75,120,270,300,390,410,410
GET,/site/jobs.html,233,0,38,54.05227170384554,23.824398999749974,345.8583900001031,697.0,1.0766253597742306,0.0,38,51,60,68,95,140,200,240,350,350,350
GET,/site/legals.html,204,0,36,55.544153794088224,23.409031000483083,356.0117569995782,690.0,0.9426247785147769,0.0,36,46,57,62,100,190,250,260,360,360,360
GET,/site/offices.html,192,0,36,59.400193734366745,23.344311000073503,382.9259180001827,693.0,0.8871762621315548,0.0,36,49,62,79,100,200,290,340,380,380,380
GET,/site/visits.js,2327,0,33,46.35820955950969,22.549272000105702,397.76525199977186,1533.0,10.752391468646499,0.0,33,39,45,49,68,110,240,280,360,400,400
,Aggregated,15294,2100,60,860.9631167655866,21.564458000284503,4507.467684999938,1404.1632666405126,70.66913413041665,9.70349036706388,60,320,850,1700,4000,4000,4100,4100,4300,4400,4500
