insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-1a082379-c168-49cd-8510-b4eb0c0dea2e,e05yrzj3mlyp,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 107 ms, finished with status: 'ok'",2021-10-09T12:38:53.278035754Z,projects/taller3-pcuneo/traces/00a7ecdeab79e9e9c905634cad3376c6
000000-44d60fc8-a3a6-43cb-8e1e-7666bf719b29,e05yrzj3mlyp,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:53.171521814Z,projects/taller3-pcuneo/traces/00a7ecdeab79e9e9c905634cad3376c6
000000-f3f5fc45-95b8-4889-be2c-b94ad403d440,e05y801p2vqy,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 96 ms, finished with status: 'ok'",2021-10-09T12:38:53.168365052Z,projects/taller3-pcuneo/traces/afa087bd3046a9495b8241e71ca9f11d
000000-f614efbb-90d0-4397-baf9-09fee42e9ecc,e05y801p2vqy,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:53.073031372Z,projects/taller3-pcuneo/traces/afa087bd3046a9495b8241e71ca9f11d
000000-33a0b3f7-baff-48d5-b97e-002c2df1c04f,e05yzwhc8qdu,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 126 ms, finished with status: 'ok'",2021-10-09T12:38:53.069548381Z,projects/taller3-pcuneo/traces/f70c7796b936df04e601c7caa86ab4eb
000000-64b6df4a-3785-4c2a-b62d-dbd2c90e2288,e05yzwhc8qdu,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:52.944091073Z,projects/taller3-pcuneo/traces/f70c7796b936df04e601c7caa86ab4eb
000000-d2d4abe8-48a9-4fa2-a64f-c391bd97d162,e05y60k9orhs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 173 ms, finished with status: 'ok'",2021-10-09T12:38:52.940835070Z,projects/taller3-pcuneo/traces/1826ae0664e5298d3a63d47443215036
000000-6a8e1297-239a-417a-84aa-0f139e31580a,e05y60k9orhs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:52.768894806Z,projects/taller3-pcuneo/traces/1826ae0664e5298d3a63d47443215036
000000-a4ab0c4a-d89d-43d8-a792-0f68dcbb694f,e05yj4wcjsdh,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 174 ms, finished with status: 'ok'",2021-10-09T12:38:52.763926591Z,projects/taller3-pcuneo/traces/54c3b80eddebf3076e91e22493d7a7cb
000000-97e270a0-2fd7-496a-9b14-9b3fcfa05377,e05yj4wcjsdh,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:52.590445019Z,projects/taller3-pcuneo/traces/54c3b80eddebf3076e91e22493d7a7cb
000000-69477d16-2a13-486f-a76f-92ab84381bee,e05y39hj4b9l,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 109 ms, finished with status: 'ok'",2021-10-09T12:38:52.586932734Z,projects/taller3-pcuneo/traces/3ce91ac25709451aede33018ee476e99
000000-195f7b25-07d5-4639-a45d-8031dc1c1da1,e05y39hj4b9l,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:52.478138691Z,projects/taller3-pcuneo/traces/3ce91ac25709451aede33018ee476e99
000000-74ac902f-fe0c-4eee-9ddd-33a85d1466e0,e05y2fomyau6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 132 ms, finished with status: 'ok'",2021-10-09T12:38:52.474499361Z,projects/taller3-pcuneo/traces/203d6ec4a6454c1d9936924bbb76b9ef
000000-f0c9e471-786d-4c23-af65-544768b3b901,e05y2fomyau6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:52.343462660Z,projects/taller3-pcuneo/traces/203d6ec4a6454c1d9936924bbb76b9ef
000000-687ad182-1eb2-47aa-927a-36950b179a93,e05y3ltbcvqx,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 95 ms, finished with status: 'ok'",2021-10-09T12:38:52.339842768Z,projects/taller3-pcuneo/traces/5d23a8e06b2ca3e42d1ce8529f474261
000000-05bf2063-2552-4fbd-b687-e88ce06fbfc4,e05y3ltbcvqx,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:52.245299119Z,projects/taller3-pcuneo/traces/5d23a8e06b2ca3e42d1ce8529f474261
000000-4e23e862-ffe9-4fc2-9584-8e7238ce4bb3,e05y7ehjxtr0,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 158 ms, finished with status: 'ok'",2021-10-09T12:38:52.241350334Z,projects/taller3-pcuneo/traces/d020c071e18592e0b71d781c7856625e
000000-e5690d01-91b3-4b07-859e-6ee6b02eaca0,e05y7ehjxtr0,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:52.083772198Z,projects/taller3-pcuneo/traces/d020c071e18592e0b71d781c7856625e
000000-a5c89465-38cc-49be-8f6a-176bfa640f72,e05yl18xzvkw,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 106 ms, finished with status: 'ok'",2021-10-09T12:38:52.079233159Z,projects/taller3-pcuneo/traces/a7c46f24882b17db2e6f196c3f454715
000000-f503c1d2-ccf0-4996-9a59-41b3e8420bad,e05yl18xzvkw,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:51.973579661Z,projects/taller3-pcuneo/traces/a7c46f24882b17db2e6f196c3f454715
000000-28121881-7beb-4140-b98a-d4b376c5ae72,e05yuqieihwd,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 192 ms, finished with status: 'ok'",2021-10-09T12:38:51.970814304Z,projects/taller3-pcuneo/traces/921479afc71aadb5f664195f9158e4f7
000000-b2f8d7a3-6edb-4557-9f9a-4916e8747525,e05yuqieihwd,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:51.779533061Z,projects/taller3-pcuneo/traces/921479afc71aadb5f664195f9158e4f7
000000-31927acb-bc16-44c3-9541-4a3fc78d8da0,e05yobo4bot9,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 104 ms, finished with status: 'ok'",2021-10-09T12:38:51.774705132Z,projects/taller3-pcuneo/traces/bef845e5eac124f3bde0d0b8a6c44312
000000-cfe9ce72-1b64-434b-a59a-b8bfa76109a1,e05yobo4bot9,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:51.671697981Z,projects/taller3-pcuneo/traces/bef845e5eac124f3bde0d0b8a6c44312
000000-a8b48282-2a63-41b5-b9b4-44dc1e799293,e05yu07i0mxc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 121 ms, finished with status: 'ok'",2021-10-09T12:38:51.665913236Z,projects/taller3-pcuneo/traces/33bcec44efa4921cd995f9702a9f5cbc
000000-938cf349-1cf7-40e3-b30e-45c84aab23b9,e05yu07i0mxc,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:51.546027036Z,projects/taller3-pcuneo/traces/33bcec44efa4921cd995f9702a9f5cbc
000000-878be605-9eb8-43ae-9df3-5dd52a826f42,e05yw0e8ip2u,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 98 ms, finished with status: 'ok'",2021-10-09T12:38:51.541658611Z,projects/taller3-pcuneo/traces/fd4bb5e2ff68ed6a1876a6349b50a1d7
000000-267bc980-7929-4447-8011-089dd3458334,e05yw0e8ip2u,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:51.443882832Z,projects/taller3-pcuneo/traces/fd4bb5e2ff68ed6a1876a6349b50a1d7
000000-2a468580-4d5c-486b-83cd-8bf2b81d44af,e05yjjzlq85z,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 164 ms, finished with status: 'ok'",2021-10-09T12:38:51.441108055Z,projects/taller3-pcuneo/traces/7e04732e0686c88f9f388660eea9e3fa
000000-c94b6dd2-513b-4dda-aceb-72ddff0a8822,e05yjjzlq85z,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:51.277939836Z,projects/taller3-pcuneo/traces/7e04732e0686c88f9f388660eea9e3fa
000000-cf03ea9a-3347-4b54-ac98-2437d5f6ab64,e05ykx80qh25,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 130 ms, finished with status: 'ok'",2021-10-09T12:38:51.274026964Z,projects/taller3-pcuneo/traces/d765f8dddfac639ef2076ab195837f3c
000000-bb85b875-6653-40cd-8500-746620c6d7ff,e05ykx80qh25,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:51.145138061Z,projects/taller3-pcuneo/traces/d765f8dddfac639ef2076ab195837f3c
000000-7a6493cb-d8c3-4b88-be69-194757263f12,e05y8tkmnean,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 163 ms, finished with status: 'ok'",2021-10-09T12:38:51.141376282Z,projects/taller3-pcuneo/traces/d7b30e42510d110700576bfdb840938f
000000-7bb3e53f-769a-4c24-8c20-49de8b28faf1,e05y8tkmnean,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.978996440Z,projects/taller3-pcuneo/traces/d7b30e42510d110700576bfdb840938f
000000-eb2d3e4b-4af4-4af8-8656-0046d4846947,e05ynbe7n9g1,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 105 ms, finished with status: 'ok'",2021-10-09T12:38:50.975281804Z,projects/taller3-pcuneo/traces/de72f78f04e0fc29467f5bc5bb111c2a
000000-f5812c36-6d9b-4498-add5-c1a84cc9d30b,e05ynbe7n9g1,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.870655397Z,projects/taller3-pcuneo/traces/de72f78f04e0fc29467f5bc5bb111c2a
000000-baada0f6-cd7c-4b38-8f11-5adc8ff7f9c9,e05y8eldrsyb,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 183 ms, finished with status: 'ok'",2021-10-09T12:38:50.867082598Z,projects/taller3-pcuneo/traces/a9fa4f60a8f27dc476adb754f76e1981
000000-979b9ab7-1c26-42a6-8d0b-4f83145b1d77,e05y8eldrsyb,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.685025599Z,projects/taller3-pcuneo/traces/a9fa4f60a8f27dc476adb754f76e1981
000000-d5b8df85-de38-456e-82dc-50f20d31dcf1,e05y9isca75i,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 103 ms, finished with status: 'ok'",2021-10-09T12:38:50.682218160Z,projects/taller3-pcuneo/traces/99cd491d19db42ea6d489f664be76b48
000000-a899c457-bd0a-4143-a67a-a0ee2799248d,yvm2u916tytt,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:54.309395252Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 157 ms, finished with status code: 200",2021-10-09T12:38:50.587172380Z,projects/taller3-pcuneo/traces/0f825e919502928c901db214e05da165
000000-1a9a8a59-ebe9-4561-82d3-03f24cd0c207,6jdsfmzet1tj,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:39:00.701647521Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 107 ms, finished with status code: 200",2021-10-09T12:38:50.579919482Z,projects/taller3-pcuneo/traces/4c19fd34420969ddbc5434f303135939
000000-bcf2274e-73ed-41a2-b45e-23b4a1b79622,e05y9isca75i,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.579894164Z,projects/taller3-pcuneo/traces/99cd491d19db42ea6d489f664be76b48
000000-020e0d71-c128-4f79-a810-18a1c6905939,e05ywfx8332a,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 104 ms, finished with status: 'ok'",2021-10-09T12:38:50.576806230Z,projects/taller3-pcuneo/traces/6e7a36cb723d46e49ee4a7373c0c2c3e
000000-3c498211-3514-4fe4-bc9e-d5a2bd58fc02,2a5f4rl8lemz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:52.179688047Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 75 ms, finished with status code: 200",2021-10-09T12:38:50.487883627Z,projects/taller3-pcuneo/traces/5116c604fac573c20f577ad6422953ad
000000-0def7dd2-b2a6-4315-accd-b8ac41d9acb2,e05ywfx8332a,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.473319460Z,projects/taller3-pcuneo/traces/6e7a36cb723d46e49ee4a7373c0c2c3e
000000-89ddfadd-06cb-4454-88f0-718d21148a9f,6jdsfmzet1tj,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:39:00.701647521Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.473111401Z,projects/taller3-pcuneo/traces/4c19fd34420969ddbc5434f303135939
000000-163f26b0-4747-493e-bf74-88d43fe08d63,e05yyu2u697z,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 125 ms, finished with status: 'ok'",2021-10-09T12:38:50.470057223Z,projects/taller3-pcuneo/traces/fb356f4c2ed61a5014cf12f683a735fa
000000-38504bc3-fdc3-4a1e-a069-d4d2bb5094f5,yvm2u916tytt,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:54.309395252Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.430285107Z,projects/taller3-pcuneo/traces/0f825e919502928c901db214e05da165
000000-79e17dd5-feb0-4cd0-8aef-9c4430587c31,2a5f4rl8lemz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:52.179688047Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.413148026Z,projects/taller3-pcuneo/traces/5116c604fac573c20f577ad6422953ad
