Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/visits/about,1439,45,450.0,1106.4174436474686,192.79335500323214,59492.12104799517,2.9937456567060456,2.7484472127993693,0.08594866197079334,450,690,810,1000,1800,3700,4800,10000,56000,59000,59000
POST,/api/visits/about,1441,37,480.0,1013.5297338091256,200.26559299731161,58186.80677599332,1.948646773074254,2.7522671533314047,0.0706688998426523,480,710,830,970,1500,3100,4000,8300,57000,58000,58000
GET,/api/visits/home,1537,38,460.0,957.9543074529017,192.03455600654706,59057.19301299541,3.0793754066363044,2.9356242988690973,0.07257887010866994,460,690,830,960,1700,3100,4000,7800,36000,59000,59000
POST,/api/visits/home,1554,49,490.0,1176.4569092861855,220.989257999463,67507.55704600306,1.936936936936937,2.9680937933913967,0.09358854303486387,490,730,860,1000,1800,4000,6300,18000,53000,68000,68000
GET,/api/visits/jobs,380,10,430.0,1028.5725319183257,201.3252130127512,48960.54906700738,2.586842105263158,0.7257887010866994,0.0190997026601763,430,680,810,1000,1900,3400,4000,6100,49000,49000,49000
POST,/api/visits/jobs,384,12,460.0,1132.103492666791,223.13754199421965,53582.402776009985,1.9375,0.7334285821507699,0.02291964319221156,460,680,780,880,1800,3300,4000,20000,54000,54000,54000
GET,/api/visits/legals,390,8,470.0,918.9607040821545,197.08519800042268,30151.819534992683,2.617948717948718,0.7448884037468757,0.01527976212814104,470,710,790,990,1600,2900,4000,10000,30000,30000,30000
POST,/api/visits/legals,400,15,500.0,1287.6209907576776,201.4999630046077,61778.28815499379,1.925,0.763988106407052,0.028649553990264448,500,740,840,1000,1800,4000,7400,18000,62000,62000,62000
GET,/api/visits/offices,316,9,460.0,1105.6044658475048,208.3747380092973,41023.644390996196,2.5221518987341773,0.603550604061571,0.01718973239415867,460,740,940,1100,1800,3500,4000,12000,41000,41000,41000
POST,/api/visits/offices,316,9,460.0,1134.6684635443783,212.50124300422613,59534.59969899268,1.9430379746835442,0.603550604061571,0.01718973239415867,460,690,910,1000,1500,3300,4000,9300,60000,60000,60000
GET,/img/favicon.ico,4229,105,2300.0,7517.93345756021,541.9860539986985,115290.49805300019,88748.13667533697,8.077264254988556,0.20054687793185114,2300,3600,5500,8400,24000,39000,51000,62000,93000,115000,115000
GET,/img/logo_fiuba.png,4125,105,2100.0,7065.903358514752,543.0955299962079,110097.22752599919,88685.63175757576,7.878627347322723,0.20054687793185114,2100,3200,4900,6800,24000,37000,51000,62000,86000,110000,110000
GET,/site/about.html,1544,0,340.0,1115.9339065932722,24.21871299156919,108671.19057499804,844.0,2.9489940907312207,0.0,340,610,830,990,1900,3300,7600,12000,96000,109000,109000
GET,/site/home.html,1661,34,360.0,3448.5189994310317,26.83166999486275,116658.99008199631,655.3058398555087,3.1724606118552834,0.06493898904459942,360,760,1500,2800,11000,17000,39000,56000,99000,117000,117000
GET,/site/jobs.html,420,0,180.0,795.7188963235933,24.569928005803376,27191.276740006288,697.0,0.8021875117274045,0.0,180,490,590,800,1600,3000,6100,9800,27000,27000,27000
GET,/site/legals.html,403,0,170.0,763.478338305436,26.051843000459485,84691.12084399967,690.0,0.7697180172051049,0.0,170,370,500,570,1100,2400,5600,7500,85000,85000,85000
GET,/site/offices.html,331,0,180.0,626.8054719914009,27.271781000308692,23922.69717399904,693.0,0.6322001580518355,0.0,180,430,520,600,1000,1600,3000,3400,24000,24000,24000
GET,/visits.js,4022,77,2100.0,6883.854433979567,525.71983699454,112087.16378700046,89204.10144206863,7.681900409922908,0.1470677104833575,2100,3200,4800,6500,22000,35000,52000,63000,98000,112000,112000
,Aggregated,24892,553,1100.0,4245.8451824895055,24.21871299156919,116658.99008199631,44316.83179334726,47.54297986171084,1.0562135571077493,1100,1800,2600,3400,9400,24000,42000,53000,83000,112000,117000
